!Plate boundaries by Peter Bird (2003)
>   AF   AN
 -31.9122    4.0111    AF    SA
 -31.4374    4.0361    AF    SA
 -30.9625    4.0608    AF    SA
 -30.8868    3.2548    AF    SA
 -30.8113    2.4487    AF    SA
 -30.7358    1.6427    AF    SA
 -30.0269    1.6071    AF    SA
 -29.9203    0.7974    AF    SA
 -29.2096    0.8489    AF    SA
 -28.3465    0.9530    AF    SA
 -27.8309    1.0075    AF    SA
 -27.3153    1.0618    AF    SA
 -26.4740    1.1592    AF    SA
 -26.2887    0.4981    AF    SA
 -25.6591    0.5562    AF    SA
 -25.0294    0.6141    AF    SA
 -24.8206   -0.2446    AF    SA
 -24.6117   -1.1033    AF    SA
 -24.0507   -1.0339    AF    SA
 -23.4897   -0.9643    AF    SA
 -22.9355   -0.8804    AF    SA
 -22.3813   -0.7964    AF    SA
 -21.5437   -0.6802    AF    SA
 -21.0168   -0.5885    AF    SA
 -20.4899   -0.4967    AF    SA
 -19.6747   -0.3334    AF    SA
 -18.8497   -0.1761    AF    SA
 -18.3693   -0.0728    AF    SA
 -17.8889    0.0306    AF    SA
 -17.3229    0.1496    AF    SA
 -16.7569    0.2686    AF    SA
 -16.4982    0.2989    AF    SA
 -16.2522   -0.5562    AF    SA
 -16.0372   -0.5196    AF    SA
 -15.8406   -1.1432    AF    SA
 -15.5652   -1.0732    AF    SA
 -15.4103   -1.4934    AF    SA
 -14.6594   -1.3009    AF    SA
 -13.9087   -1.1082    AF    SA
 -13.1580   -0.9153    AF    SA
 -12.9298   -1.5072    AF    SA
 -12.7014   -2.0991    AF    SA
 -12.1641   -1.9454    AF    SA
 -11.9989   -2.4003    AF    SA
 -11.8336   -2.8550    AF    SA
 -12.0293   -3.0135    AF    SA
 -11.8975   -3.4927    AF    SA
 -11.7655   -3.9720    AF    SA
 -12.0968   -4.1030    AF    SA
 -12.0386   -4.5874    AF    SA
 -12.1445   -4.6088    AF    SA
 -12.0185   -5.0256    AF    SA
 -11.6044   -4.9423    AF    SA
 -11.5161   -5.4150    AF    SA
 -11.1669   -5.3771    AF    SA
 -11.0222   -5.9302    AF    SA
 -11.2671   -6.0202    AF    SA
 -11.1805   -6.7554    AF    SA
 -11.9933   -6.9608    AF    SA
 -12.8068   -7.1648    AF    SA
 -13.6210   -7.3674    AF    SA
 -13.4894   -7.8891    AF    SA
 -13.3574   -8.4107    AF    SA
 -13.1911   -8.3740    AF    SA
 -13.0230   -9.2252    AF    SA
 -13.2482   -9.2765    AF    SA
 -13.1663   -9.7944    AF    SA
 -13.3151   -9.8247    AF    SA
 -13.1736  -10.6231    AF    SA
 -13.0313  -11.4215    AF    SA
 -13.5243  -11.5387    AF    SA
 -14.0177  -11.6551    AF    SA
 -14.5115  -11.7706    AF    SA
 -15.0058  -11.8853    AF    SA
 -14.9077  -12.3390    AF    SA
 -14.8611  -12.3196    AF    SA
 -14.7910  -12.6562    AF    SA
 -14.5501  -12.5770    AF    SA
 -14.4102  -13.2181    AF    SA
 -14.5996  -13.2655    AF    SA
 -14.5391  -13.7366    AF    SA
 -14.4784  -14.2077    AF    SA
 -13.6428  -14.0355    AF    SA
 -13.4352  -14.8494    AF    SA
 -13.2261  -15.6632    AF    SA
 -13.3835  -15.6882    AF    SA
 -13.2386  -16.2117    AF    SA
 -13.7702  -16.3229    AF    SA
 -14.3024  -16.4327    AF    SA
 -14.2381  -16.7645    AF    SA
 -14.3688  -16.7770    AF    SA
 -14.2242  -17.3859    AF    SA
 -14.0786  -17.9946    AF    SA
 -13.5189  -17.8930    AF    SA
 -12.9598  -17.7898    AF    SA
 -12.8598  -18.2872    AF    SA
 -12.7593  -18.7845    AF    SA
 -12.4772  -18.7465    AF    SA
 -12.3703  -19.3409    AF    SA
 -12.2626  -19.9353    AF    SA
 -11.9446  -19.8248    AF    SA
 -11.8522  -20.2784    AF    SA
 -11.9708  -20.2991    AF    SA
 -11.7632  -21.1759    AF    SA
 -12.0066  -21.2091    AF    SA
 -11.8495  -21.7351    AF    SA
 -11.9359  -21.7522    AF    SA
 -11.8192  -22.1534    AF    SA
 -12.3643  -22.2671    AF    SA
 -12.9102  -22.3790    AF    SA
